
===2025-03-07 10:26:23===LiftFeat===
pixel_thr: 0.5
auc@5: 42.367379877754644
auc@10: 56.68799350458795
auc@20: 68.2459559867582
pixel_thr: 1.0
auc@5: 48.55256434758754
auc@10: 61.43597321659403
auc@20: 71.65466805584691
pixel_thr: 1.5
auc@5: 49.653357325531466
auc@10: 62.39486813479136
auc@20: 72.43262552668538
pixel_thr: 2.0
auc@5: 49.37725671145174
auc@10: 62.46651542647861
auc@20: 72.89832689616503
pixel_thr: 2.5
auc@5: 48.71329007631979
auc@10: 62.05725848020306
auc@20: 72.80731134107326
pixel_thr: 3.0
auc@5: 48.30351346345812
auc@10: 61.69183805806535
auc@20: 72.5169637164843
pixel_thr: 3.5
auc@5: 47.264784185688775
auc@10: 60.93513018099308
auc@20: 72.00404943892407
pixel_thr: 4.0
auc@5: 46.57471958647094
auc@10: 60.59888763278573
auc@20: 71.8769160144768
pixel_thr: 4.5
auc@5: 44.980535809415464
auc@10: 59.15600876604222
auc@20: 70.79864825598573
pixel_thr: 5.0
auc@5: 43.9517687226988
auc@10: 58.255845500407524
auc@20: 70.28758872426073
pixel_thr: 5.5
auc@5: 43.40572629167882
auc@10: 57.488965110772014
auc@20: 69.40790264416324
pixel_thr: 6.0
auc@5: 42.26594089688992
auc@10: 56.57316562548841
auc@20: 68.69884523838189

===2025-03-10 23:05:40===LiftFeat_81000===
pixel_thr: 0.5
auc@5: 40.568875451538254
auc@10: 54.73086501780111
auc@20: 66.55521303362626
pixel_thr: 1.0
auc@5: 45.78277614226895
auc@10: 58.90877062407904
auc@20: 69.41096641877593
pixel_thr: 1.5
auc@5: 47.94962186733776
auc@10: 60.26998631514964
auc@20: 70.65275562862688
pixel_thr: 2.0
auc@5: 47.85810987791692
auc@10: 60.8005992983202
auc@20: 71.28751916086131
pixel_thr: 2.5
auc@5: 48.204789560426335
auc@10: 61.0719605203264
auc@20: 71.56798287309651
pixel_thr: 3.0
auc@5: 47.18136737447919
auc@10: 60.302930425144055
auc@20: 71.10461880708401
pixel_thr: 3.5
auc@5: 46.25103768958521
auc@10: 59.932038587792455
auc@20: 70.93362795931728
pixel_thr: 4.0
auc@5: 45.53974200640477
auc@10: 59.56088152245719
auc@20: 71.02200167799273
pixel_thr: 4.5
auc@5: 44.82896589075345
auc@10: 58.83837921110667
auc@20: 70.26690675170397
pixel_thr: 5.0
auc@5: 43.94424184356811
auc@10: 58.02129338604251
auc@20: 69.49318859373868
pixel_thr: 5.5
auc@5: 43.21116095311105
auc@10: 57.55417843194988
auc@20: 69.30410267374324
pixel_thr: 6.0
auc@5: 42.354131304419695
auc@10: 56.68702271859936
auc@20: 68.68397081884487
